City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cape Town,-33.9258,18.4232,70.12,85,52,1.01,ZA,1643757152
Guéret,46.1667,1.8667,41.63,99,100,5.66,FR,1643757156
Rikitea,-23.1203,-134.9692,78.44,69,87,5.66,PF,1643756999
Conceição do Araguaia,-8.2578,-49.2647,75.18,92,77,3.2,BR,1643757161
Bluff,-46.6,168.3333,77.81,63,97,12.95,NZ,1643756991
Albany,42.6001,-73.9662,30.58,62,41,1.01,US,1643757073
Mayo,38.8876,-76.5119,39.24,73,0,0.0,US,1643756843
Pochutla,15.7432,-96.4661,83.25,54,0,11.1,MX,1643757172
Vostok,46.4856,135.8833,-7.4,99,100,4.23,RU,1643757175
Atuona,-9.8,-139.0333,78.35,77,13,20.31,PF,1643756579
Synya,65.3718,58.0387,-0.67,97,85,3.94,RU,1643757181
Castro,-24.7911,-50.0119,65.19,91,5,4.12,BR,1643757184
Vaini,-21.2,-175.2,79.61,72,13,10.47,TO,1643757186
Bulembu,-25.9667,31.1333,61.23,93,1,2.26,SZ,1643757189
Ushuaia,-54.8,-68.3,42.46,81,40,37.98,AR,1643757183
Mataura,-46.1927,168.8643,77.49,49,98,9.08,NZ,1643757195
Port Blair,11.6667,92.75,74.12,75,36,3.69,IN,1643757198
Avarua,-21.2078,-159.775,82.45,83,75,13.8,CK,1643757087
Saint George,37.1041,-113.5841,53.44,21,0,1.01,US,1643757204
Lázaro Cárdenas,17.9583,-102.2,80.82,58,6,8.5,MX,1643757206
Isangel,-19.55,169.2667,82.6,72,100,2.73,VU,1643757210
Thompson,55.7435,-97.8558,-16.13,85,70,10.89,CA,1643757213
Kapuskasing,49.4169,-82.4331,33.76,89,100,14.32,CA,1643757216
Busselton,-33.65,115.3333,64.04,63,19,18.72,AU,1643757218
Ambam,2.3833,11.2833,69.64,89,86,3.42,CM,1643757221
Machacamarca,-18.1667,-67.0333,52.48,63,88,9.89,BO,1643757225
Hermanus,-34.4187,19.2345,69.91,81,16,3.67,ZA,1643757228
Maridi,4.9158,29.4742,72.21,26,100,2.66,SS,1643757230
Barrow,71.2906,-156.7887,-16.58,69,40,8.05,US,1643757194
Lebu,-37.6167,-73.65,62.06,84,0,11.7,CL,1643756961
Saint Paul Harbor,57.79,-152.4072,38.71,93,100,10.36,US,1643757239
Slavyanka,42.8633,131.3847,11.93,71,1,5.3,RU,1643757242
Constitución,-35.3333,-72.4167,63.0,72,2,4.0,CL,1643756997
Saint-Philippe,-21.3585,55.7679,81.95,91,98,21.21,RE,1643757247
Nikolskoye,59.7035,30.7861,24.69,98,100,2.24,RU,1643756989
Punta Arenas,-53.15,-70.9167,50.11,53,40,25.32,CL,1643756958
Tasiilaq,65.6145,-37.6368,10.56,73,91,5.55,GL,1643756703
Codrington,-38.2667,141.9667,58.75,52,72,13.51,AU,1643756677
Cidreira,-30.1811,-50.2056,72.46,73,5,11.36,BR,1643757261
Dikson,73.5069,80.5464,3.49,93,100,17.34,RU,1643757264
Kavaratti,10.5669,72.642,79.88,71,1,10.54,IN,1643757267
Qaanaaq,77.484,-69.3632,-18.62,70,100,12.06,GL,1643756974
Kahului,20.8947,-156.47,82.42,65,20,20.71,US,1643757062
Kapaa,22.0752,-159.319,80.58,65,20,1.01,US,1643757192
Kukës,42.0769,20.4219,31.87,95,100,7.07,AL,1643757278
Nelson Bay,-32.7167,152.15,75.09,89,100,3.0,AU,1643757281
Hilo,19.7297,-155.09,78.53,72,100,8.05,US,1643757056
Ostrovnoy,68.0531,39.5131,17.35,91,100,7.63,RU,1643756727
Kaitangata,-46.2817,169.8464,69.93,73,100,10.58,NZ,1643757289
Chokurdakh,70.6333,147.9167,-13.76,94,100,5.37,RU,1643756472
Clyde River,70.4692,-68.5914,-18.17,69,75,4.61,CA,1643757294
Chumikan,54.7183,135.315,-11.25,89,31,12.86,RU,1643757297
Port Alfred,-33.5906,26.891,77.13,81,100,6.24,ZA,1643757300
Smithers,54.7804,-127.1743,21.52,63,100,10.36,CA,1643757303
Debre Tabor,11.85,38.0167,54.79,57,100,2.82,ET,1643757306
Itupiranga,-5.1347,-49.3267,74.62,95,93,1.68,BR,1643757309
Srednekolymsk,67.45,153.6833,-13.59,93,98,6.17,RU,1643756851
San Patricio,28.017,-97.5169,76.53,47,5,3.49,US,1643757314
Bredasdorp,-34.5322,20.0403,74.03,80,5,1.7,ZA,1643757317
Bambous Virieux,-20.3428,57.7575,80.22,100,75,25.32,MU,1643757320
Sistranda,63.7256,8.834,23.9,72,100,3.62,NO,1643757324
Egvekinot,66.3167,-179.1667,-5.12,84,98,17.36,RU,1643757328
Le Marin,14.4721,-60.8697,77.72,78,0,5.75,MQ,1643757332
Kerema,-7.9631,145.7785,80.56,71,100,5.61,PG,1643757335
Dunedin,-45.8742,170.5036,67.8,84,100,11.01,NZ,1643757096
Verkhnyaya Inta,65.9811,60.3094,-0.53,89,53,6.89,RU,1643757341
Jamestown,42.097,-79.2353,40.59,32,0,16.11,US,1643757282
Padang,-0.9492,100.3543,73.45,86,100,3.85,ID,1643757346
Warri,5.5167,5.75,77.27,71,21,3.8,NG,1643757349
Heihe,50.2441,127.4902,-4.61,87,3,7.74,CN,1643757352
Ribeira Grande,38.5167,-28.7,59.36,74,46,11.68,PT,1643757261
Nakonde,-9.3421,32.745,59.83,99,100,3.42,ZM,1643757358
Makakilo City,21.3469,-158.0858,79.12,54,20,10.36,US,1643757361
Marzuq,14.4,46.4667,62.56,74,52,3.56,YE,1643757364
Muroto-misakicho,33.2833,134.15,35.64,53,1,10.04,JP,1643757366
Åmot,59.5714,7.9877,23.5,96,96,5.14,NO,1643757369
Cayenne,4.9333,-52.3333,74.08,92,96,5.99,GF,1643757372
Tuktoyaktuk,69.4541,-133.0374,-23.8,69,20,5.75,CA,1643757375
Kostroma,57.7708,40.9344,28.11,94,100,9.98,RU,1643757378
Ponta do Sol,32.6667,-17.1,71.13,33,69,13.76,PT,1643757381
Chui,-33.6971,-53.4616,64.33,67,0,7.56,UY,1643757384
Hasaki,35.7333,140.8333,37.8,50,0,18.9,JP,1643757387
Laguna,38.421,-121.4238,64.65,26,0,13.0,US,1643757390
Worland,44.0169,-107.9554,26.67,59,100,1.99,US,1643757392
Samfya,-11.3649,29.5565,66.25,92,100,0.67,ZM,1643757395
Esso,55.9333,158.7,17.85,92,85,6.26,RU,1643757398
Puerto Escondido,15.85,-97.0667,85.03,61,20,11.5,MX,1643756829
Mitsamiouli,-11.3847,43.2844,81.43,75,100,4.18,KM,1643757404
Kloulklubed,7.0419,134.2556,81.1,75,100,19.28,PW,1643757406
San Andrés,12.5847,-81.7006,82.42,69,20,4.61,CO,1643757255
Tuburan,6.6439,122.2736,75.29,75,97,4.38,PH,1643757412
Norman Wells,65.282,-126.8329,-12.96,77,20,2.3,CA,1643757415
Caravelas,-17.7125,-39.2481,78.78,86,65,7.07,BR,1643757392
Avera,33.194,-82.5271,60.31,63,0,7.16,US,1643757421
Lompoc,34.6391,-120.4579,66.69,49,0,20.71,US,1643757228
Raudeberg,61.9875,5.1352,35.87,92,100,3.0,NO,1643757426
Parabel',58.6978,81.4825,17.73,94,100,7.85,RU,1643756873
Pangnirtung,66.1451,-65.7125,-25.6,75,20,0.0,CA,1643757432
Hobart,-42.8794,147.3294,59.02,49,75,1.01,AU,1643757189
Liwale,-9.7667,37.9333,68.38,97,29,0.96,TZ,1643757438
La Ronge,55.1001,-105.2842,-7.35,64,40,11.5,CA,1643757310
Aswān,24.0934,32.907,55.49,51,0,3.78,EG,1643757444
Tabou,4.423,-7.3528,78.98,81,98,6.76,CI,1643757447
Atar,20.5169,-13.0499,76.89,14,79,7.83,MR,1643757450
Puerto Ayora,-0.7393,-90.3518,76.55,92,71,3.0,EC,1643757366
Mabasa,16.321,121.1262,66.63,97,86,3.4,PH,1643757455
Husavik,66.0449,-17.3389,8.51,81,31,15.73,IS,1643757458
Morros,-9.4467,-46.3003,77.4,73,93,3.38,BR,1643757461
High Prairie,55.4334,-116.4858,-2.9,84,67,7.87,CA,1643757464
Severo-Kuril'sk,50.6789,156.125,28.58,78,86,11.23,RU,1643757467
Olutanga,7.3106,122.8464,80.04,75,87,6.42,PH,1643757470
Damaturu,11.747,11.9608,58.78,28,0,7.99,NG,1643757473
Geraldton,-28.7667,114.6,86.41,25,53,27.63,AU,1643757476
Pimentel,-6.8367,-79.9342,73.69,68,0,23.02,PE,1643757479
Hong Kong,22.2855,114.1577,60.94,95,100,1.01,HK,1643757382
Asilah,35.465,-6.0348,55.36,71,0,6.26,MA,1643757486
Butaritari,3.0707,172.7902,81.68,77,52,10.94,KI,1643757257
New Norfolk,-42.7826,147.0587,58.91,45,22,1.99,AU,1643757492
Airai,-8.9266,125.4092,63.73,77,58,2.84,TL,1643757495
Katsuura,35.1333,140.3,44.71,49,25,18.59,JP,1643757498
Ahipara,-35.1667,173.1667,74.79,69,100,15.26,NZ,1643757501
Klaksvík,62.2266,-6.589,38.32,75,100,13.91,FO,1643757503
Grindavik,63.8424,-22.4338,34.27,80,40,10.36,IS,1643757506
Fortuna,40.5982,-124.1573,55.47,62,0,7.0,US,1643757212
Esperance,-33.8667,121.9,64.17,57,38,17.02,AU,1643757512
Ulladulla,-35.35,150.4667,65.77,87,100,10.94,AU,1643757515
Sambava,-14.2667,50.1667,74.55,84,49,6.35,MG,1643757518
Flinders,-34.5833,150.8552,69.19,85,100,8.99,AU,1643757521
Bethel,41.3712,-73.414,33.49,71,86,1.3,US,1643757277
Provideniya,64.3833,-173.3,14.36,62,3,22.37,RU,1643757526
Itarema,-2.9248,-39.9167,80.33,79,100,15.08,BR,1643757319
Seoul,37.5683,126.9778,26.11,53,6,7.05,KR,1643757239
Mar del Plata,-38.0023,-57.5575,75.22,71,0,4.0,AR,1643757424
Namatanai,-3.6667,152.4333,80.4,80,100,4.34,PG,1643757537
Upernavik,72.7868,-56.1549,-14.15,73,100,6.26,GL,1643757540
Nemuro,43.3236,145.575,23.36,74,13,16.58,JP,1643757543
Gamba,-2.65,10.0,77.47,89,53,4.83,GA,1643757546
Mossamedes,-15.1961,12.1522,72.25,71,52,11.27,AO,1643757549
Juneau,58.3019,-134.4197,25.21,74,100,6.91,US,1643757552
Bossangoa,6.4926,17.4552,71.94,19,5,3.71,CF,1643757555
Yellowknife,62.456,-114.3525,-22.45,75,0,8.05,CA,1643757558
Korla,41.7597,86.1469,22.12,48,13,1.95,CN,1643757561
Ames,42.0347,-93.6199,26.51,74,75,5.99,US,1643757564
Bara,10.3744,10.7288,63.66,22,0,8.34,NG,1643757567
Opuwo,-18.0607,13.84,64.83,47,83,6.17,NA,1643757569
Ancud,-41.8697,-73.8203,64.42,85,100,6.76,CL,1643757392
Sisimiut,66.9395,-53.6735,8.82,85,100,10.13,GL,1643757576
Geilo,60.5333,8.2076,8.19,99,98,2.82,NO,1643757578
Aklavik,68.2191,-135.0107,-9.4,77,75,4.61,CA,1643757581
George Town,5.4112,100.3354,80.53,87,20,2.3,MY,1643757584
Narasannapeta,18.4167,84.05,67.5,85,1,4.65,IN,1643757588
Touros,-5.1989,-35.4608,79.7,76,46,11.43,BR,1643757552
Lagoa,39.05,-27.9833,58.53,74,66,15.82,PT,1643757593
Jalu,29.0331,21.5482,56.16,36,58,13.73,LY,1643757596
Mildura,-34.2,142.15,63.07,45,1,14.97,AU,1643757600
Vanimo,-2.6741,141.3028,78.39,82,100,4.25,PG,1643757603
Atambua,-9.1061,124.8925,76.3,83,52,6.04,ID,1643757606
East London,-33.0153,27.9116,75.9,80,100,6.64,ZA,1643757557
Kavieng,-2.5744,150.7967,80.46,79,100,7.83,PG,1643757612
Tiksi,71.6872,128.8694,-11.18,97,100,5.23,RU,1643757615
Lenoir City,35.7973,-84.256,57.63,63,34,2.57,US,1643757586
Yulara,-25.2406,130.9889,69.64,83,100,13.8,AU,1643757621
Faanui,-16.4833,-151.75,80.67,76,13,19.48,PF,1643757624
Shuangyang,43.5242,125.6736,-0.44,88,5,7.25,CN,1643757627
Berlevåg,70.8578,29.0864,20.68,67,43,11.52,NO,1643757630
Vilyuysk,63.7553,121.6247,-26.19,98,90,5.64,RU,1643757633
Hithadhoo,-0.6,73.0833,82.47,72,4,12.53,MV,1643757398
Ventspils,57.3894,21.5606,19.33,93,0,3.44,LV,1643757639
Artigas,-30.4,-56.4667,86.97,31,0,8.97,UY,1643757642
Iquique,-20.2208,-70.1431,69.84,75,10,5.21,CL,1643757478
Arrondissement de Saint-Denis,48.9167,2.3333,51.96,89,100,8.01,FR,1643757647
Amuntai,-2.4177,115.2494,74.34,90,100,0.56,ID,1643757650
Dongfeng,42.6403,125.5118,-0.04,90,5,6.69,CN,1643757653
Quatre Cocos,-20.2078,57.7625,80.1,92,100,30.36,MU,1643757656
Faya,18.3851,42.4509,52.32,63,11,4.99,SA,1643757659
Shelburne,44.0787,-80.2041,36.59,67,100,19.19,CA,1643757662
Santiago del Estero,-27.7951,-64.2615,92.66,22,37,7.72,AR,1643757665
Camacha,33.0833,-16.3333,62.53,77,20,21.85,PT,1643757668
Bengkulu,-3.8004,102.2655,74.26,81,100,6.4,ID,1643757559
Anuradhapura,8.3565,80.4173,64.38,95,4,4.38,LK,1643757674
Tokonou,9.65,-9.7833,73.8,17,100,3.89,GN,1643757677
Cabo San Lucas,22.8909,-109.9124,76.51,51,0,4.0,MX,1643757633
Ciudad Bolivar,8.1222,-63.5497,84.83,52,92,14.99,VE,1643757682
Mahébourg,-20.4081,57.7,80.26,100,75,25.32,MU,1643757686
Teluknaga,-6.0989,106.6381,82.63,100,40,5.75,ID,1643757689
Nouadhibou,20.931,-17.0347,67.98,68,94,10.36,MR,1643757692
Ericeira,38.9627,-9.4156,57.88,76,0,6.35,PT,1643757445
Sidi Ali,36.0998,0.4206,46.99,76,0,3.06,DZ,1643757698
Umluj,25.0213,37.2685,65.1,41,0,12.75,SA,1643757701
Saskylakh,71.9167,114.0833,-27.96,100,52,1.52,RU,1643757630
Dingli,35.8614,14.3822,51.82,54,20,17.27,MT,1643757707
Qasigiannguit,68.8193,-51.1922,3.45,94,100,4.54,GL,1643757710
Broken Hill,-31.95,141.4333,61.66,50,92,22.79,AU,1643757714
Monroe,43.1501,-77.6831,38.71,54,40,10.36,US,1643757718
Şile,41.1754,29.6133,53.89,60,100,11.03,TR,1643757721
Beyneu,45.3167,55.2,32.77,82,67,9.28,KZ,1643757723
Longyearbyen,78.2186,15.6401,22.84,63,75,2.3,SJ,1643757726
Erenhot,43.6475,111.9767,-0.85,90,4,6.17,CN,1643757656
Lufilufi,-13.8745,-171.5986,83.98,77,97,16.44,WS,1643757733
Tilichiki,60.4667,166.1,15.01,94,100,8.21,RU,1643757736
Vanavara,60.34,102.2797,-11.07,100,100,3.09,RU,1643757739
Walvis Bay,-22.9575,14.5053,69.1,83,49,4.03,NA,1643757713
Bentiu,9.2333,29.8333,71.55,23,34,4.9,SS,1643757744
Dingle,10.9995,122.6711,74.3,93,89,7.78,PH,1643757747
Taksimo,56.3444,114.8794,-18.36,95,91,2.01,RU,1643757750
Bilma,18.6853,12.9164,57.36,21,0,7.07,NE,1643757753
Saldanha,-33.0117,17.9442,66.25,97,38,12.41,ZA,1643757756
Humberto de Campos,-2.5983,-43.4611,78.42,83,92,8.16,BR,1643757758
Uíge,-7.6087,15.0613,66.24,97,76,2.01,AO,1643757761
Anicuns,-16.4611,-49.9617,69.21,95,99,2.44,BR,1643757764
Pakxan,18.3778,103.6601,62.51,84,50,3.98,LA,1643757767
Iqaluit,63.7506,-68.5145,-11.47,75,75,10.0,CA,1643757770
Laas,46.6166,10.7002,36.01,93,100,8.75,IT,1643757773
Pontian Kecil,1.4801,103.3899,78.89,92,40,3.85,MY,1643757777
Uvira,-3.4067,29.1458,71.62,85,100,2.06,CD,1643757779
San Vicente,-26.6167,-54.1333,76.14,34,6,3.22,AR,1643757782
Karachi,24.9056,67.0822,67.82,83,8,5.75,PK,1643757785
Fuzhou,26.0614,119.3061,48.09,91,99,2.17,CN,1643757788
Hidalgo,20.5,-99.0,74.62,14,0,16.35,MX,1643757791
Torbay,47.6666,-52.7314,23.4,61,40,13.8,CA,1643757734
Henties Bay,-22.116,14.2845,68.86,80,14,2.82,NA,1643757797
Kuril'sk,45.2333,147.8833,23.76,88,99,16.24,RU,1643757799
Tirschenreuth,49.8825,12.3331,37.47,97,100,1.01,DE,1643757802
Bor,56.3567,44.0669,30.13,91,100,10.58,RU,1643757805
Burnie,-41.0667,145.9167,58.95,52,11,11.21,AU,1643757809
La Trinidad,16.455,120.5875,57.24,86,18,4.74,PH,1643757804
Huilong,31.8111,121.655,41.04,77,100,7.52,CN,1643757815
Sobolevo,54.4299,31.8996,19.49,96,100,9.44,RU,1643757819
Brae,60.3964,-1.353,37.31,62,100,22.84,GB,1643757822
Kieta,-6.2167,155.6333,83.5,75,100,8.61,PG,1643757825
High Level,58.5169,-117.136,-5.69,65,20,9.22,CA,1643757828
Tomatlán,19.9333,-105.25,84.18,30,0,12.64,MX,1643757831
Vasterhaninge,59.1167,18.1,24.62,91,90,6.55,SE,1643757834
Turukhansk,65.8167,87.9833,8.04,95,100,8.99,RU,1643757837
Ukiah,39.1502,-123.2078,65.44,30,0,10.36,US,1643757828
Pauini,-7.7136,-66.9764,74.55,96,95,4.09,BR,1643757842
Kuopio,62.8924,27.677,17.55,86,100,4.61,FI,1643757557
Springbok,-29.6643,17.8865,67.77,72,92,2.35,ZA,1643757725
Vangaindrano,-23.35,47.6,73.11,86,15,4.97,MG,1643757852
Waipawa,-41.4122,175.5153,74.03,49,100,8.79,NZ,1643757788
Warmbad,-28.45,18.7333,77.7,61,100,9.46,NA,1643757679
Baoqing,46.3317,132.2111,-3.42,92,64,6.71,CN,1643757860
Verkhoyansk,67.5447,133.385,-16.02,97,100,1.3,RU,1643757863
Sovetskiy,61.3614,63.5842,13.78,95,100,7.0,RU,1643757865
Khatanga,71.9667,102.5,-36.99,99,22,2.77,RU,1643757868
Lüderitz,-26.6481,15.1594,64.76,88,43,5.21,NA,1643757691
Sangīn,32.0728,64.8359,46.78,67,92,11.83,AF,1643757874
Sulangan,11.1373,123.7228,79.77,79,64,14.16,PH,1643757877
Aasiaat,68.7098,-52.8699,0.55,97,100,5.44,GL,1643757880
The Valley,18.217,-63.0578,78.66,78,20,5.75,AI,1643757883
Sørland,67.667,12.6934,30.34,58,100,17.92,NO,1643757733
Narsaq,60.9167,-46.05,16.02,82,52,2.84,GL,1643757888
Palauig,15.435,119.9045,75.85,73,7,5.57,PH,1643757891
São Filipe,14.8961,-24.4956,73.92,79,83,8.21,CV,1643757894
Hobyo,5.3505,48.5268,77.31,83,100,17.02,SO,1643757897
Zhaozhou,45.6833,125.3167,-13.05,100,20,1.95,CN,1643757900
San-Pédro,4.7485,-6.6363,78.57,86,100,5.97,CI,1643757903
Miharu,37.4333,140.4833,34.95,75,64,11.1,JP,1643757906
Morgan City,29.6994,-91.2068,64.4,100,100,10.36,US,1643757908
Bud,39.447,-86.1758,57.29,83,99,9.57,US,1643757911
Benalla,-36.55,145.9833,70.14,43,0,13.44,AU,1643757914
Udobnaya,44.1932,41.5529,30.7,85,100,5.08,RU,1643757918
Vinh,18.6667,105.6667,61.95,86,100,4.21,VN,1643757920
Abhā,18.2164,42.5053,52.05,71,0,4.61,SA,1643757923
Senneterre,48.3835,-77.2328,26.82,80,100,18.68,CA,1643757926
Havøysund,70.9963,24.6622,22.08,64,74,9.55,NO,1643757764
Lubao,14.9167,120.55,75.22,85,63,7.0,PH,1643757932
Tingo María,-9.2895,-76.0088,72.19,96,100,0.34,PE,1643757935
Harrisonville,38.6533,-94.3488,39.2,90,100,12.66,US,1643757937
Sitka,57.0531,-135.33,33.69,69,100,6.91,US,1643757745
Hamilton,39.1834,-84.5333,56.03,42,0,10.36,US,1643757943
North Myrtle Beach,33.816,-78.68,50.09,71,0,3.44,US,1643757946
Ipixuna,-1.7625,-48.8043,76.95,96,74,3.51,BR,1643757949
Tiznit Province,29.5833,-9.5,63.61,37,100,2.57,MA,1643757952
Baie-Comeau,49.2168,-68.1489,8.28,72,0,11.5,CA,1643757955
Kaeo,-35.1,173.7833,76.32,80,100,12.71,NZ,1643757957
Camaná,-16.6228,-72.7111,72.43,79,59,8.97,PE,1643757960
Deputatsky,69.3,139.9,-10.43,97,100,1.43,RU,1643757963
Solnechnyy,50.7214,136.6319,-3.39,99,100,1.79,RU,1643757966
Ilulissat,69.2167,-51.1,3.22,51,100,6.91,GL,1643757902
Sechura,-5.5569,-80.8222,79.9,55,32,19.51,PE,1643757972
Kayes,14.0,-11.0,80.62,11,2,9.01,ML,1643757975
Le Moule,16.3332,-61.3473,77.04,100,2,7.18,GP,1643757978
Baracoa,20.3467,-74.4958,74.03,80,99,12.1,CU,1643757981
